dataset,seed,model,sampler,steps,nfe,sliced_w2,wall_s
moons,2,2-rectified,euler,1,1,0.03383629396557808,0.006727500003762543
moons,2,2-rectified,euler,2,2,0.03302018344402313,0.012958457999047823
moons,2,2-rectified,euler,4,4,0.03222165256738663,0.02666091600258369
moons,2,2-rectified,euler,8,8,0.03162521496415138,0.053176957997493446
moons,2,2-rectified,euler,16,16,0.03131188824772835,0.10664591701060999
moons,2,2-rectified,euler,32,32,0.03114488534629345,0.2227143329946557
moons,2,2-rectified,euler,64,64,0.03102424368262291,0.42770924999786075
moons,2,2-rectified,euler,128,128,0.03097281977534294,0.9278733750106767
moons,2,2-rectified,heun,1,2,0.03297402337193489,0.013683290992048569
moons,2,2-rectified,heun,2,4,0.03233736753463745,0.026480040993192233
moons,2,2-rectified,heun,4,8,0.031679101288318634,0.05411804199684411
moons,2,2-rectified,heun,8,16,0.031253568828105927,0.10747795800853055
moons,2,2-rectified,heun,16,32,0.031091073527932167,0.21490091700979974
moons,2,2-rectified,heun,32,64,0.031018344685435295,0.4297778750042198
moons,2,2-rectified,heun,64,128,0.030952000990509987,0.84325395799533
moons,2,2-rectified,rk4,1,4,0.03211585432291031,0.026458958003786393
moons,2,2-rectified,rk4,2,8,0.03142435848712921,0.055792957995436154
moons,2,2-rectified,rk4,4,16,0.03110206499695778,0.106708167004399
moons,2,2-rectified,rk4,8,32,0.031033046543598175,0.22243479199823923
moons,2,2-rectified,rk4,16,64,0.0309925377368927,0.462316582998028
moons,2,2-rectified,rk4,32,128,0.030929410830140114,0.8489742090023356
moons,2,diffusion-vp,euler,1,1,1.0096204280853271,0.006544415999087505
moons,2,diffusion-vp,euler,2,2,0.4153422713279724,0.012913832993945107
moons,2,diffusion-vp,euler,4,4,0.18619845807552338,0.027459124990855344
